book_id,avg_sentence_length,avg_char_per_word,avg_punctuation_per_sentence,long_word_ratio,noun_ratio,verb_ratio,adverb_ratio,preposition_ratio,adjective_ratio,article_ratio,gerund_infinitive_ratio,downtoner_ratio,amplifier_ratio,demonstrative_ratio,type_token_ratio,genre
pg6105.epub,0.0484,4.2323,3.0426,0.143,0.2336,0.1724,0.0595,0.1378,0.0674,0.0954,0.0162,0.0031,0.0024,0.0293,0.0047,Romance
pg1190.epub,0.0391,4.3381,4.8397,0.1703,0.1855,0.179,0.0789,0.1454,0.0752,0.0765,0.0167,0.0033,0.0024,0.0225,0.0434,Horror
pg35517.epub,0.0455,4.1979,3.6932,0.1657,0.2205,0.1837,0.0505,0.1298,0.0707,0.0902,0.0173,0.0023,0.003,0.0163,0.0075,Horror
pg4046.epub,0.0515,4.4297,3.6747,0.1937,0.2033,0.1733,0.0734,0.1368,0.084,0.0649,0.0138,0.0043,0.0032,0.0312,0.0244,Horror
pg3828.epub,0.0812,4.246,2.7203,0.177,0.2253,0.1916,0.0482,0.1209,0.0676,0.0737,0.0177,0.0021,0.0016,0.0117,0.0039,Humorous
pg39905.epub,0.0637,4.0667,3.2513,0.1408,0.1902,0.2052,0.0588,0.1262,0.0629,0.0641,0.0148,0.003,0.0042,0.0197,0.0064,Humorous
pg34619.epub,0.0599,4.5991,3.4534,0.2172,0.233,0.1677,0.0658,0.1329,0.0911,0.0753,0.0184,0.0035,0.0039,0.0171,0.0068,Horror
pg35787.epub,0.0775,3.9617,3.3005,0.1202,0.2255,0.1996,0.051,0.1126,0.0658,0.0714,0.0188,0.0017,0.0014,0.0163,0.0082,Humorous
pg37430.epub,0.087,4.3273,3.5275,0.1801,0.2889,0.1845,0.0507,0.109,0.068,0.0765,0.0163,0.0022,0.0012,0.0141,0.0076,Humorous
pg8182.epub,0.0577,4.3313,3.4164,0.1797,0.2139,0.1974,0.0622,0.1269,0.0706,0.0826,0.0206,0.0028,0.0014,0.0173,0.0125,Horror
pg44581.epub,0.0533,4.3679,3.3546,0.1875,0.2351,0.1911,0.0558,0.1343,0.0637,0.0859,0.0157,0.0025,0.0018,0.0166,0.0115,Horror
pg6410.epub,0.0918,4.3442,2.9353,0.1748,0.2543,0.203,0.0541,0.11,0.0621,0.0693,0.0181,0.0017,0.0021,0.0199,0.0033,Humorous
pg5662.epub,0.0792,3.9478,2.9638,0.0979,0.2053,0.2056,0.064,0.0937,0.0675,0.0663,0.0136,0.0028,0.0041,0.0118,0.0824,Christmas
pg33945.epub,0.0706,4.2827,3.0414,0.1553,0.2347,0.1855,0.0587,0.1209,0.078,0.0685,0.0152,0.0018,0.0014,0.0144,0.0067,Allegories
pg19337DickensChristCarl.epub,0.0694,4.2876,3.5462,0.1669,0.239,0.1855,0.0544,0.1252,0.0718,0.0764,0.0187,0.0015,0.0032,0.0164,0.0193,Christmas
pg15895.epub,0.0601,4.1501,3.2832,0.1323,0.2209,0.1893,0.0553,0.1191,0.0694,0.0808,0.0163,0.0025,0.0014,0.0123,0.0155,Allegories
pg1392.epub,0.0488,4.3154,4.1077,0.1814,0.2412,0.1759,0.0554,0.1294,0.0681,0.0878,0.0191,0.0016,0.0044,0.0179,0.0652,Christmas
pg43190.epub,0.0641,4.1603,3.9959,0.1451,0.2326,0.1909,0.05,0.1227,0.0637,0.0679,0.0149,0.0023,0.002,0.0175,0.0017,Christmas
pg587.epub,0.0646,3.8899,3.1216,0.0985,0.2135,0.2097,0.0508,0.1032,0.0581,0.0597,0.0223,0.0013,0.0008,0.0172,0.0038,Humorous
pg44796.epub,0.0723,4.1846,2.6125,0.1529,0.2756,0.1785,0.0397,0.1257,0.0649,0.0956,0.0161,0.0014,0.0015,0.0152,0.0192,Christmas
