name,hyphens,colons,semi_colon,interjections,Preposition_or_subordinating_conjunction,personal_pronoun,possessive_pronoun,male_oriented,female_oriented,comma,period, co_conjunction,fres
pg41314.epub,0.01044861,0.00132954,0.00480198,0.00325346,0.11324533,0.07709755,0.02396297,0.22628077,0.13047516,0.0704655,0.03391104,0.0307045,91.99481919
pg41315.epub,0.01097257,0.00176345,0.0050766,0.00244033,0.12155326,0.07664767,0.02550766,0.18605057,0.110898,0.06296759,0.03341646,0.03265052,92.22862025
pg41339.epub,0.02455633,0.00069301,0.00557414,0.0021694,0.10943385,0.06356022,0.02237188,0.21002806,0.20704769,0.05697671,0.03229986,0.03421315,82.3617896
pg41525.epub,0.00592883,0.00107196,0.0052539,0.0051745,0.09793153,0.09810357,0.02440348,0.15987902,0.16031112,0.06703017,0.04085333,0.02887657,90.42713191
pg41564.epub,0.00850111,0.00015796,0.00746719,0.0038054,0.10141015,0.08139235,0.02659468,0.15239362,0.24853724,0.09000833,0.02804504,0.03384647,79.81245327
pg42117.epub,0.00376256,0.00234806,0.0089679,0.00286671,0.10303174,0.06557594,0.02661135,0.2677987,0.09390344,0.07911736,0.03738979,0.02754492,86.28469458
pg42423.epub,0.00533371,0.00024884,0.00666444,0.00161202,0.10839437,0.08880138,0.02191906,0.34346297,0.13191324,0.0557497,0.0450931,0.03808247,94.19288545
pg42714.epub,0.01631835,0.00029011,0.00271973,0.008135,0.07279189,0.09571009,0.01531507,0.21066957,0.10016331,0.07065238,0.05000665,0.03264877,96.85626935
pg42807.epub,0.00551052,0.00049012,0.00160282,0.00119218,0.11281991,0.09175807,0.02204208,0.32941451,0.10394599,0.0622715,0.04212367,0.02461188,90.63452256
pg43190.epub,0.00886379,0.00075228,0.00858578,0.00354334,0.10722132,0.08517088,0.02621523,0.21029707,0.16341213,0.06482668,0.03806087,0.0381917,95.01160114
pg43498.epub,0.01040309,0.00068791,0.01081343,0.00257061,0.11076515,0.08683322,0.02194063,0.19183402,0.21835128,0.06972001,0.02589911,0.03598842,83.04301867
pg43925.epub,0.00607125,0.00200178,0.01271089,0.00356696,0.09933934,0.06843944,0.02696224,0.25947673,0.07123738,0.08051602,0.03505174,0.02611375,87.5698762
pg44018.epub,0.00773164,0.00254085,0.01064659,0.00213556,0.11591221,0.05683377,0.02738808,0.37738294,0.17120119,0.1027092,0.02208817,0.03285946,78.20164289
pg44375.epub,0.004334,0.0025236,0.01213518,0.00184332,0.11129033,0.06661181,0.02797894,0.27108225,0.04523838,0.07128594,0.03573623,0.02524688,82.58567962
